"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE","GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE","GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE","3/201","27/17872",0.00335970110147299,0.0276578403167472,0.0198612153235283,"IL1B/TNF/PTGS2",3
"GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE","GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE","GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE","3/201","27/17872",0.00335970110147299,0.0276578403167472,0.0198612153235283,"TNF/STAT3/TLR4",3
"GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","4/201","55/17872",0.00338421445377564,0.0276578403167472,0.0198612153235283,"PDE4B/ADM/CXCL8/PLEK",4
"GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY","GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY","GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY","4/201","55/17872",0.00338421445377564,0.0276578403167472,0.0198612153235283,"SERPINB9/SLAMF1/BCL6/CD55",4
"GOBP_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY","GOBP_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY","GOBP_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY","4/201","55/17872",0.00338421445377564,0.0276578403167472,0.0198612153235283,"ZFAND5/PTPN1/PTPN2/PTPN12",4
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY","4/201","55/17872",0.00338421445377564,0.0276578403167472,0.0198612153235283,"AREG/PTPN1/EREG/LILRA5",4
"GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING","GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING","GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING","12/201","429/17872",0.00346858081268626,0.0282371810798902,0.0202772424431697,"IL1B/SIPA1L1/DLGAP1/PTEN/MCTP1/SLC1A3/RAPGEF2/TNF/PRKCE/PTGS2/SYN1/EIF4E",12
"GOBP_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY","GOBP_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY","GOBP_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY","5/201","90/17872",0.00347403468197107,0.0282371810798902,0.0202772424431697,"AREG/PTPN1/EREG/PTPN2/LILRA5",5
"GOBP_POSITIVE_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS","4/201","56/17872",0.00361295760564408,0.0292865558087942,0.0210308029962406,"PMAIP1/INSR/PTPN2/PRKCE",4
"GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION","GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION","GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION","5/201","91/17872",0.00364309376380803,0.0294508094781554,0.0211487542700024,"TNFAIP3/PELI1/SCGB1A1/SDC4/IL2RA",5
"GOBP_AMINOGLYCAN_METABOLIC_PROCESS","GOBP_AMINOGLYCAN_METABOLIC_PROCESS","GOBP_AMINOGLYCAN_METABOLIC_PROCESS","6/201","131/17872",0.0036696373008201,0.0295852109955307,0.0212452685836953,"IL1B/NFKB1/CD44/TNFAIP6/CHST11/CSGALNACT2",6
"GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY","GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY","GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY","7/201","175/17872",0.00370066692722588,0.0297549580698512,0.021367164695431,"NLRP3/IL1B/SERPINB9/SLAMF1/BCL6/CD55/TNF",7
"GOBP_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY","GOBP_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY","GOBP_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY","9/201","272/17872",0.00374568281538603,0.0300359458018724,0.0215689432068777,"IL1B/TNFAIP3/IRAK3/ZFP36/PTPN1/PTEN/DUSP1/GADD45B/PTPN2",9
"GOBP_POSITIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION","GOBP_POSITIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION","GOBP_POSITIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION","7/201","176/17872",0.00381812450893326,0.0304531160699142,0.0218685149892462,"HCK/FMN1/PRKCE/SDC4/SNX9/PLEK/MTSS1",7
"GOBP_STEROID_BIOSYNTHETIC_PROCESS","GOBP_STEROID_BIOSYNTHETIC_PROCESS","GOBP_STEROID_BIOSYNTHETIC_PROCESS","7/201","176/17872",0.00381812450893326,0.0304531160699142,0.0218685149892462,"NFKB1/IL1A/ATP1A1/CH25H/TNF/ADM/EGR1",7
"GOBP_POSITIVE_REGULATION_OF_ION_TRANSPORT","GOBP_POSITIVE_REGULATION_OF_ION_TRANSPORT","GOBP_POSITIVE_REGULATION_OF_ION_TRANSPORT","9/201","273/17872",0.00383663185624428,0.0304786323179534,0.0218868383178486,"IL1B/CCL4/IL1A/IFNGR2/CCL3/KCNJ2/LILRA5/VMP1/PKP2",9
"GOBP_EMBRYO_IMPLANTATION","GOBP_EMBRYO_IMPLANTATION","GOBP_EMBRYO_IMPLANTATION","4/201","57/17872",0.0038519759919103,0.0304786323179534,0.0218868383178486,"IL1B/SCGB1A1/PTGS2/VMP1",4
"GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION","GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION","GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION","4/201","57/17872",0.0038519759919103,0.0304786323179534,0.0218868383178486,"N4BP1/ISG20/TNF/TNIP1",4
"GOBP_REGULATION_OF_WOUND_HEALING","GOBP_REGULATION_OF_WOUND_HEALING","GOBP_REGULATION_OF_WOUND_HEALING","6/201","133/17872",0.00395266000177302,0.0311925523420342,0.0223995073896076,"TNFAIP3/THBS1/PTEN/TNF/PRKCE/NFE2L2",6
"GOBP_ERYTHROCYTE_HOMEOSTASIS","GOBP_ERYTHROCYTE_HOMEOSTASIS","GOBP_ERYTHROCYTE_HOMEOSTASIS","6/201","134/17872",0.00410008671299582,0.0320708805672419,0.0230302387050611,"ZFP36/BCL6/RBFOX2/HIPK2/PTPN2/STAT3",6
"GOBP_P38MAPK_CASCADE","GOBP_P38MAPK_CASCADE","GOBP_P38MAPK_CASCADE","4/201","58/17872",0.00410148325063588,0.0320708805672419,0.0230302387050611,"IL1B/ZFP36/DUSP1/GADD45B",4
"GOBP_RESPONSE_TO_AMYLOID_BETA","GOBP_RESPONSE_TO_AMYLOID_BETA","GOBP_RESPONSE_TO_AMYLOID_BETA","4/201","58/17872",0.00410148325063588,0.0320708805672419,0.0230302387050611,"FPR2/ICAM1/TNF/TLR4",4
"GOBP_L_GLUTAMATE_TRANSMEMBRANE_TRANSPORT","GOBP_L_GLUTAMATE_TRANSMEMBRANE_TRANSPORT","GOBP_L_GLUTAMATE_TRANSMEMBRANE_TRANSPORT","3/201","29/17872",0.00412846736098588,0.0320708805672419,0.0230302387050611,"SLC1A3/TNF/SLC1A2",3
"GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION","3/201","29/17872",0.00412846736098588,0.0320708805672419,0.0230302387050611,"IL1B/IL1A/PTGS2",3
"GOBP_RESPONSE_TO_OXYGEN_RADICAL","GOBP_RESPONSE_TO_OXYGEN_RADICAL","GOBP_RESPONSE_TO_OXYGEN_RADICAL","3/201","29/17872",0.00412846736098588,0.0320708805672419,0.0230302387050611,"SOD2/GCH1/NFE2L2",3
"GOBP_CELLULAR_RESPONSE_TO_KETONE","GOBP_CELLULAR_RESPONSE_TO_KETONE","GOBP_CELLULAR_RESPONSE_TO_KETONE","5/201","94/17872",0.00418565296270744,0.0324306565915747,0.0232885954316053,"CFLAR/KLF9/PRKCE/GNG2/EIF4E",5
"GOBP_REGULATION_OF_HORMONE_LEVELS","GOBP_REGULATION_OF_HORMONE_LEVELS","GOBP_REGULATION_OF_HORMONE_LEVELS","13/201","499/17872",0.00434873467753542,0.0334471003922391,0.024018508142,"IL1B/ALDH1A2/NFKB1/IL1RN/ENSA/ATP1A1/TNF/PRKCE/ADM/CTSB/KLF7/ECE1/EGR1",13
"GOBP_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE","GOBP_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE","GOBP_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE","4/201","59/17872",0.00436169026234697,0.0334471003922391,0.024018508142,"SAMSN1/SLAMF1/BCL6/CD55",4
"GOBP_POSITIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY","4/201","59/17872",0.00436169026234697,0.0334471003922391,0.024018508142,"IL1B/GCH1/TNF/ABL2",4
"GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY","GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY","GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY","4/201","59/17872",0.00436169026234697,0.0334471003922391,0.024018508142,"NLRP3/IL1B/SLAMF1/CD55",4
"GOBP_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION","GOBP_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION","GOBP_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION","5/201","95/17872",0.00437866625384971,0.0334911831672658,0.0240501641743162,"THBS1/EREG/TNF/PTGS2/TLR4",5
"GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE","GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE","GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE","11/201","387/17872",0.00449450888915013,0.0341849402802447,0.0245483541719914,"TNFAIP3/GPR132/PTEN/TP53BP2/BCL6/DUSP1/TNF/PLK3/PTGS2/TEX14/BTG2",11
"GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION","GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION","GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION","3/201","30/17872",0.00454958809629806,0.0341849402802447,0.0245483541719914,"IRAK3/BCL6/TLR4",3
"GOBP_NEGATIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION","GOBP_NEGATIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION","GOBP_NEGATIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION","3/201","30/17872",0.00454958809629806,0.0341849402802447,0.0245483541719914,"CCL3/TNFAIP6/TLR4",3
"GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_ACTIVATION","GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_ACTIVATION","GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_ACTIVATION","3/201","30/17872",0.00454958809629806,0.0341849402802447,0.0245483541719914,"THBS1/CCL3/TLR4",3
"GOBP_REGULATION_OF_GLIAL_CELL_PROLIFERATION","GOBP_REGULATION_OF_GLIAL_CELL_PROLIFERATION","GOBP_REGULATION_OF_GLIAL_CELL_PROLIFERATION","3/201","30/17872",0.00454958809629806,0.0341849402802447,0.0245483541719914,"IL1B/TNF/PRKCH",3
"GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION","GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION","GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION","3/201","30/17872",0.00454958809629806,0.0341849402802447,0.0245483541719914,"CFLAR/SCGB3A1/EHD1",3
"GOBP_RESPONSE_TO_ANGIOTENSIN","GOBP_RESPONSE_TO_ANGIOTENSIN","GOBP_RESPONSE_TO_ANGIOTENSIN","3/201","30/17872",0.00454958809629806,0.0341849402802447,0.0245483541719914,"NFKB1/NFE2L2/PTGS2",3
"GOBP_OSTEOCLAST_DIFFERENTIATION","GOBP_OSTEOCLAST_DIFFERENTIATION","GOBP_OSTEOCLAST_DIFFERENTIATION","5/201","96/17872",0.0045779420397611,0.0342666034776163,0.024606996868906,"GPR183/TNF/CCL3/TNFAIP6/TLR4",5
"GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE","GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE","GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE","7/201","182/17872",0.00458343103840728,0.0342666034776163,0.024606996868906,"ACSL1/THBS1/SLC1A3/ATP1A1/TNF/KCNJ2/SLC1A2",7
"GOBP_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY","GOBP_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY","GOBP_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY","4/201","60/17872",0.004632805054493,0.0344629862283108,0.0247480201755959,"IL1B/IRAK3/PTPN1/DUSP1",4
"GOBP_REGULATION_OF_GLUCOSE_IMPORT","GOBP_REGULATION_OF_GLUCOSE_IMPORT","GOBP_REGULATION_OF_GLUCOSE_IMPORT","4/201","60/17872",0.004632805054493,0.0344629862283108,0.0247480201755959,"INSR/TNF/NFE2L2/SLC1A2",4
"GOBP_REGULATION_OF_BLOOD_PRESSURE","GOBP_REGULATION_OF_BLOOD_PRESSURE","GOBP_REGULATION_OF_BLOOD_PRESSURE","7/201","183/17872",0.00472147748081973,0.0349303032869093,0.025083602586185,"SOD2/GCH1/ATP1A1/TNF/ADM/PTGS2/ECE1",7
"GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS","GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS","GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS","7/201","183/17872",0.00472147748081973,0.0349303032869093,0.025083602586185,"NFKB1/PMAIP1/INSR/PTPN2/PRKCE/STAT3/PLEK",7
"GOBP_ENDOTHELIUM_DEVELOPMENT","GOBP_ENDOTHELIUM_DEVELOPMENT","GOBP_ENDOTHELIUM_DEVELOPMENT","6/201","138/17872",0.00473075512165986,0.0349303032869093,0.025083602586185,"IL1B/CLIC4/RAPGEF2/ICAM1/TNF/KDM6B",6
"GOBP_EPIDERMIS_DEVELOPMENT","GOBP_EPIDERMIS_DEVELOPMENT","GOBP_EPIDERMIS_DEVELOPMENT","10/201","335/17872",0.00474279394376073,0.0349327267512055,0.0250853428864278,"CLIC4/IL1A/ZFP36/EREG/INSR/TNF/KLF7/MAFF/SAV1/PRKCH",10
"GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN","GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN","GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN","5/201","97/17872",0.00478358922304616,0.0351464203259771,0.0252387971711147,"PTPN1/PPP1R15A/PTPN2/ATF6/NFE2L2",5
"GOBP_DENDRITE_MORPHOGENESIS","GOBP_DENDRITE_MORPHOGENESIS","GOBP_DENDRITE_MORPHOGENESIS","6/201","139/17872",0.0048989902632119,0.0358472923627263,0.0257420964264686,"SIPA1L1/PTEN/RBFOX2/RAPGEF2/IL1RAPL1/KLF7",6
"GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY","GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY","GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY","4/201","61/17872",0.00491503271081295,0.0358472923627263,0.0257420964264686,"TNFAIP3/NFKBIA/BIRC3/TLR4",4
"GOBP_REGULATION_OF_LIPID_CATABOLIC_PROCESS","GOBP_REGULATION_OF_LIPID_CATABOLIC_PROCESS","GOBP_REGULATION_OF_LIPID_CATABOLIC_PROCESS","4/201","61/17872",0.00491503271081295,0.0358472923627263,0.0257420964264686,"IL1B/LDLR/TNF/PRKCE",4
"GOBP_CHEMOKINE_PRODUCTION","GOBP_CHEMOKINE_PRODUCTION","GOBP_CHEMOKINE_PRODUCTION","5/201","98/17872",0.00499571630015514,0.0360833338544108,0.0259115988474076,"IL1B/TNF/TLR4/MEFV/EGR1",5
"GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS","GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS","GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS","3/201","31/17872",0.004995781723725,0.0360833338544108,0.0259115988474076,"TNFAIP3/CFLAR/ICAM1",3
"GOBP_REGULATION_OF_PROGRAMMED_NECROTIC_CELL_DEATH","GOBP_REGULATION_OF_PROGRAMMED_NECROTIC_CELL_DEATH","GOBP_REGULATION_OF_PROGRAMMED_NECROTIC_CELL_DEATH","3/201","31/17872",0.004995781723725,0.0360833338544108,0.0259115988474076,"PELI1/CFLAR/BIRC3",3
"GOBP_TOLERANCE_INDUCTION","GOBP_TOLERANCE_INDUCTION","GOBP_TOLERANCE_INDUCTION","3/201","31/17872",0.004995781723725,0.0360833338544108,0.0259115988474076,"TNFAIP3/IRAK3/IL2RA",3
"GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS","GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS","GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS","6/201","140/17872",0.00507158381711512,0.0364967047399161,0.0262084422766658,"CCL4/FPR2/THBS1/SLAMF1/CCL3/CXCL8",6
"GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE","GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE","GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE","8/201","234/17872",0.00507748322730981,0.0364967047399161,0.0262084422766658,"GPR132/PTEN/BCL6/DUSP1/TNF/PLK3/TEX14/BTG2",8
"GOBP_REGULATION_OF_CELL_DIVISION","GOBP_REGULATION_OF_CELL_DIVISION","GOBP_REGULATION_OF_CELL_DIVISION","7/201","186/17872",0.0051544765648684,0.0369610663293328,0.0265419023519919,"IL1B/OOEP/IL1A/EREG/PLK3/PRKCE/TEX14",7
"GOBP_REGULATION_OF_MACROPHAGE_ACTIVATION","GOBP_REGULATION_OF_MACROPHAGE_ACTIVATION","GOBP_REGULATION_OF_MACROPHAGE_ACTIVATION","4/201","62/17872",0.00520857528547487,0.0372594246440564,0.0267561547543641,"THBS1/LDLR/CCL3/TLR4",4
"GOBP_IMMATURE_T_CELL_PROLIFERATION","GOBP_IMMATURE_T_CELL_PROLIFERATION","GOBP_IMMATURE_T_CELL_PROLIFERATION","2/201","10/17872",0.00533713604664747,0.0373724808149047,0.026837340881956,"IL1B/IL1A",2
"GOBP_LONG_CHAIN_FATTY_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE","GOBP_LONG_CHAIN_FATTY_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE","GOBP_LONG_CHAIN_FATTY_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE","2/201","10/17872",0.00533713604664747,0.0373724808149047,0.026837340881956,"ACSL1/THBS1",2
"GOBP_NATURAL_KILLER_CELL_CHEMOTAXIS","GOBP_NATURAL_KILLER_CELL_CHEMOTAXIS","GOBP_NATURAL_KILLER_CELL_CHEMOTAXIS","2/201","10/17872",0.00533713604664747,0.0373724808149047,0.026837340881956,"CCL4/CCL3",2
"GOBP_POSITIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GOBP_POSITIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GOBP_POSITIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","2/201","10/17872",0.00533713604664747,0.0373724808149047,0.026837340881956,"PMAIP1/PTPN2",2
"GOBP_REGULATION_OF_CHRONIC_INFLAMMATORY_RESPONSE","GOBP_REGULATION_OF_CHRONIC_INFLAMMATORY_RESPONSE","GOBP_REGULATION_OF_CHRONIC_INFLAMMATORY_RESPONSE","2/201","10/17872",0.00533713604664747,0.0373724808149047,0.026837340881956,"TNFAIP3/TNF",2
"GOBP_REGULATION_OF_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY","GOBP_REGULATION_OF_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY","GOBP_REGULATION_OF_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY","2/201","10/17872",0.00533713604664747,0.0373724808149047,0.026837340881956,"IL1R2/IL1RN",2
"GOBP_REGULATION_OF_REMOVAL_OF_SUPEROXIDE_RADICALS","GOBP_REGULATION_OF_REMOVAL_OF_SUPEROXIDE_RADICALS","GOBP_REGULATION_OF_REMOVAL_OF_SUPEROXIDE_RADICALS","2/201","10/17872",0.00533713604664747,0.0373724808149047,0.026837340881956,"GCH1/NFE2L2",2
"GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_3_SIGNALING_PATHWAY","GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_3_SIGNALING_PATHWAY","GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_3_SIGNALING_PATHWAY","2/201","10/17872",0.00533713604664747,0.0373724808149047,0.026837340881956,"TNFAIP3/PELI1",2
"GOBP_VITAMIN_D_BIOSYNTHETIC_PROCESS","GOBP_VITAMIN_D_BIOSYNTHETIC_PROCESS","GOBP_VITAMIN_D_BIOSYNTHETIC_PROCESS","2/201","10/17872",0.00533713604664747,0.0373724808149047,0.026837340881956,"NFKB1/TNF",2
"GOBP_APPENDAGE_MORPHOGENESIS","GOBP_APPENDAGE_MORPHOGENESIS","GOBP_APPENDAGE_MORPHOGENESIS","6/201","142/17872",0.00543010863487765,0.0374506100705928,0.0268934458399903,"ALDH1A2/ZBTB16/MBNL1/FMN1/CHST11/ECE1",6
"GOBP_KERATINOCYTE_DIFFERENTIATION","GOBP_KERATINOCYTE_DIFFERENTIATION","GOBP_KERATINOCYTE_DIFFERENTIATION","6/201","142/17872",0.00543010863487765,0.0374506100705928,0.0268934458399903,"CLIC4/IL1A/ZFP36/EREG/SAV1/PRKCH",6
"GOBP_REGULATION_OF_FAT_CELL_DIFFERENTIATION","GOBP_REGULATION_OF_FAT_CELL_DIFFERENTIATION","GOBP_REGULATION_OF_FAT_CELL_DIFFERENTIATION","6/201","142/17872",0.00543010863487765,0.0374506100705928,0.0268934458399903,"SOD2/ZBTB16/ZFP36/TNF/PTGS2/SAV1",6
"GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE","5/201","100/17872",0.00543984186087412,0.0374506100705928,0.0268934458399903,"IL1R2/TNF/STAT3/TLR4/MEFV",5
"GOBP_POSITIVE_REGULATION_OF_MONOOXYGENASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_MONOOXYGENASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_MONOOXYGENASE_ACTIVITY","3/201","32/17872",0.00546745394564988,0.0374506100705928,0.0268934458399903,"IL1B/GCH1/TNF",3
"GOBP_POTASSIUM_ION_HOMEOSTASIS","GOBP_POTASSIUM_ION_HOMEOSTASIS","GOBP_POTASSIUM_ION_HOMEOSTASIS","3/201","32/17872",0.00546745394564988,0.0374506100705928,0.0268934458399903,"ATP1A1/KCNJ2/KCNMA1",3
"GOBP_PROSTANOID_BIOSYNTHETIC_PROCESS","GOBP_PROSTANOID_BIOSYNTHETIC_PROCESS","GOBP_PROSTANOID_BIOSYNTHETIC_PROCESS","3/201","32/17872",0.00546745394564988,0.0374506100705928,0.0268934458399903,"IL1B/TBXAS1/PTGS2",3
"GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","3/201","32/17872",0.00546745394564988,0.0374506100705928,0.0268934458399903,"PMAIP1/PTPN1/PTPN2",3
"GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION","GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION","GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION","3/201","32/17872",0.00546745394564988,0.0374506100705928,0.0268934458399903,"NFKBIA/NFKB1/PRKCH",3
"GOBP_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY","GOBP_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY","GOBP_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY","8/201","237/17872",0.00547384042600686,0.0374506100705928,0.0268934458399903,"IL1B/TNFAIP3/IRAK3/PTPN1/PTEN/DUSP1/GADD45B/PTPN2",8
