"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY","GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY","GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY","3/171","94/17872",0.0614052229966589,0.290478159565487,0.246743763254656,"TTC19/NDUFB10/COX14",3
"GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION","7/171","365/17872",0.0617997221640881,0.291126698082306,0.247294657802098,"TMSB4X/TYROBP/TSPO/PYCARD/EZR/CARD16/GSTP1",7
"GOBP_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION","GOBP_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION","GOBP_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION","4/171","155/17872",0.0618164504873447,0.291126698082306,0.247294657802098,"TYROBP/RPS15/EZR/STX3",4
"GOBP_REGULATION_OF_BINDING","GOBP_REGULATION_OF_BINDING","GOBP_REGULATION_OF_BINDING","7/171","367/17872",0.0632477207300071,0.296559653108044,0.251909627033,"TMSB4X/ACTB/RACK1/APOE/RPL11/CARD16/EDF1",7
"GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS","2/171","43/17872",0.0636681741135913,0.296559653108044,0.251909627033,"TMSB4X/HIF1A",2
"GOBP_RAC_PROTEIN_SIGNAL_TRANSDUCTION","GOBP_RAC_PROTEIN_SIGNAL_TRANSDUCTION","GOBP_RAC_PROTEIN_SIGNAL_TRANSDUCTION","2/171","43/17872",0.0636681741135913,0.296559653108044,0.251909627033,"AIF1/GABARAP",2
"GOBP_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL","GOBP_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL","GOBP_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL","2/171","43/17872",0.0636681741135913,0.296559653108044,0.251909627033,"LGALS1/FCN1",2
"GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION","GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION","GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION","2/171","43/17872",0.0636681741135913,0.296559653108044,0.251909627033,"TYROBP/HIF1A",2
"GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM","GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM","GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM","3/171","96/17872",0.0645723678711783,0.300113149580706,0.254928109020384,"ACTB/ACTG1/EZR",3
"GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN","GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN","GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN","4/171","158/17872",0.065376038599171,0.303184947564714,0.257537417051205,"RACK1/HSPA8/HSP90AA1/SERP1",4
"GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN","GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN","GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN","3/171","97/17872",0.0661837858487218,0.305596437266707,0.259585832825422,"RACK1/HSPA8/SERP1",3
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_BINDING","GOBP_NEGATIVE_REGULATION_OF_PROTEIN_BINDING","GOBP_NEGATIVE_REGULATION_OF_PROTEIN_BINDING","3/171","97/17872",0.0661837858487218,0.305596437266707,0.259585832825422,"ACTB/RACK1/CARD16",3
"GOBP_RESPONSE_TO_CARBOHYDRATE","GOBP_RESPONSE_TO_CARBOHYDRATE","GOBP_RESPONSE_TO_CARBOHYDRATE","5/171","227/17872",0.0673335377566596,0.310230876779056,0.263522511051295,"CYBA/GPX1/HIF1A/RACK1/SELENOT",5
"GOBP_LONG_TERM_SYNAPTIC_POTENTIATION","GOBP_LONG_TERM_SYNAPTIC_POTENTIATION","GOBP_LONG_TERM_SYNAPTIC_POTENTIATION","3/171","98/17872",0.0678135774981817,0.310683191416253,0.263906725189542,"TYROBP/APOE/STX3",3
"GOBP_TYPE_I_INTERFERON_PRODUCTION","GOBP_TYPE_I_INTERFERON_PRODUCTION","GOBP_TYPE_I_INTERFERON_PRODUCTION","3/171","98/17872",0.0678135774981817,0.310683191416253,0.263906725189542,"PYCARD/CD14/HSP90AA1",3
"GOBP_REGULATION_OF_HEMOPOIESIS","GOBP_REGULATION_OF_HEMOPOIESIS","GOBP_REGULATION_OF_HEMOPOIESIS","7/171","374/17872",0.0684782563363136,0.310683191416253,0.263906725189542,"TYROBP/HIF1A/LGALS1/TMEM176B/C1QC/TMEM176A/MALT1",7
"GOBP_LEUKOCYTE_MEDIATED_IMMUNITY","GOBP_LEUKOCYTE_MEDIATED_IMMUNITY","GOBP_LEUKOCYTE_MEDIATED_IMMUNITY","8/171","451/17872",0.0686691614097401,0.310683191416253,0.263906725189542,"TYROBP/VAMP8/ITGB2/FCER1G/STXBP2/C1QB/C1QC/MALT1",8
"GOBP_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY","GOBP_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY","GOBP_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY","8/171","451/17872",0.0686691614097401,0.310683191416253,0.263906725189542,"TMSB4X/RPS3/PYCARD/S100A9/S100A8/CD36/CARD16/MALT1",8
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OXIDATIVE_STRESS","GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OXIDATIVE_STRESS","GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OXIDATIVE_STRESS","2/171","45/17872",0.0689530106224037,0.310683191416253,0.263906725189542,"GPX1/HIF1A",2
"GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION","2/171","45/17872",0.0689530106224037,0.310683191416253,0.263906725189542,"CARD16/GSTP1",2
"GOBP_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION","GOBP_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION","GOBP_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION","2/171","45/17872",0.0689530106224037,0.310683191416253,0.263906725189542,"TYROBP/APOE",2
"GOBP_REGULATION_OF_MAST_CELL_ACTIVATION","GOBP_REGULATION_OF_MAST_CELL_ACTIVATION","GOBP_REGULATION_OF_MAST_CELL_ACTIVATION","2/171","45/17872",0.0689530106224037,0.310683191416253,0.263906725189542,"VAMP8/STXBP2",2
"GOBP_RUFFLE_ASSEMBLY","GOBP_RUFFLE_ASSEMBLY","GOBP_RUFFLE_ASSEMBLY","2/171","45/17872",0.0689530106224037,0.310683191416253,0.263906725189542,"PFN1/AIF1",2
"GOBP_MYELOID_CELL_HOMEOSTASIS","GOBP_MYELOID_CELL_HOMEOSTASIS","GOBP_MYELOID_CELL_HOMEOSTASIS","4/171","161/17872",0.0690407092036117,0.310683191416253,0.263906725189542,"HIF1A/RPS14/RPS6/RPS19",4
"GOBP_CELL_DEATH_IN_RESPONSE_TO_OXIDATIVE_STRESS","GOBP_CELL_DEATH_IN_RESPONSE_TO_OXIDATIVE_STRESS","GOBP_CELL_DEATH_IN_RESPONSE_TO_OXIDATIVE_STRESS","3/171","99/17872",0.0694615974023008,0.311916348588767,0.264954218198606,"GPX1/HIF1A/RACK1",3
"GOBP_NUCLEOTIDE_PHOSPHORYLATION","GOBP_NUCLEOTIDE_PHOSPHORYLATION","GOBP_NUCLEOTIDE_PHOSPHORYLATION","3/171","100/17872",0.0711276979282288,0.318724114767,0.270737006993081,"HIF1A/ALDOA/TPI1",3
"GOBP_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA","GOBP_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA","GOBP_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA","2/171","46/17872",0.0716478858052498,0.320379177790212,0.27214288370127,"GPX1/PYCARD",2
"GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION","4/171","164/17872",0.0728094671258464,0.32421826637581,0.275403959048537,"PFN1/AIF1/ACTG1/EZR",4
"GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION","GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION","GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION","3/171","101/17872",0.0728117293132116,0.32421826637581,0.275403959048537,"TSPO/USP36/HSP90AA1",3
"GOBP_REGULATION_OF_CELL_CELL_ADHESION","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GOBP_REGULATION_OF_CELL_CELL_ADHESION","8/171","458/17872",0.0736214052813912,0.327137792505596,0.277883921277922,"RPS3/AIF1/PYCARD/ITGB2/LGALS1/CD9/MALT1/FXYD5",8
"GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM","GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM","GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM","2/171","47/17872",0.0743765304949808,0.32835427059335,0.278917246405492,"SRP14/SEC62",2
"GOBP_POSITIVE_REGULATION_OF_TOR_SIGNALING","GOBP_POSITIVE_REGULATION_OF_TOR_SIGNALING","GOBP_POSITIVE_REGULATION_OF_TOR_SIGNALING","2/171","47/17872",0.0743765304949808,0.32835427059335,0.278917246405492,"LAMTOR2/LAMTOR4",2
"GOBP_REGULATION_OF_MEMBRANE_DEPOLARIZATION","GOBP_REGULATION_OF_MEMBRANE_DEPOLARIZATION","GOBP_REGULATION_OF_MEMBRANE_DEPOLARIZATION","2/171","47/17872",0.0743765304949808,0.32835427059335,0.278917246405492,"TSPO/RACK1",2
"GOBP_NEGATIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS","GOBP_NEGATIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS","GOBP_NEGATIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS","3/171","102/17872",0.0745135397485851,0.32835427059335,0.278917246405492,"APOE/APOC1/SLC27A4",3
"GOBP_NEGATIVE_REGULATION_OF_BINDING","GOBP_NEGATIVE_REGULATION_OF_BINDING","GOBP_NEGATIVE_REGULATION_OF_BINDING","4/171","166/17872",0.0753792605273024,0.331481468654224,0.281573613476727,"TMSB4X/ACTB/RACK1/CARD16",4
"GOBP_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION","GOBP_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION","GOBP_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION","3/171","103/17872",0.0762329754620972,0.333853278106174,0.283588323259977,"RPS3/AIF1/PYCARD",3
"GOBP_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR","GOBP_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR","GOBP_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR","3/171","103/17872",0.0762329754620972,0.333853278106174,0.283588323259977,"RPS15/RPS20/RPL11",3
"GOBP_RESPONSE_TO_ALCOHOL","GOBP_RESPONSE_TO_ALCOHOL","GOBP_RESPONSE_TO_ALCOHOL","5/171","236/17872",0.076660485781967,0.335034715639708,0.284591883539726,"CYBA/TSPO/RPL27/CD14/S100A8",5
"GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION","GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION","GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION","2/171","48/17872",0.0771380606860522,0.335053662366411,0.284607977646956,"GPX1/TSPO",2
"GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS","GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS","GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS","2/171","48/17872",0.0771380606860522,0.335053662366411,0.284607977646956,"CYBA/CD36",2
"GOBP_VASODILATION","GOBP_VASODILATION","GOBP_VASODILATION","2/171","48/17872",0.0771380606860522,0.335053662366411,0.284607977646956,"GPX1/APOE",2
"GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY","GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY","GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY","5/171","237/17872",0.0777380014946529,0.336707873245893,0.286013130510189,"TYROBP/VAMP8/ITGB2/STXBP2/MALT1",5
"GOBP_REGULATION_OF_STEROID_METABOLIC_PROCESS","GOBP_REGULATION_OF_STEROID_METABOLIC_PROCESS","GOBP_REGULATION_OF_STEROID_METABOLIC_PROCESS","3/171","104/17872",0.0779698807985873,0.336707873245893,0.286013130510189,"TSPO/APOE/APOC1",3
"GOBP_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS","GOBP_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS","GOBP_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS","4/171","168/17872",0.0779944791134553,0.336707873245893,0.286013130510189,"RACK1/RPL11/GABARAP/ELOB",4
"GOBP_NEGATIVE_REGULATION_OF_TRANSPORT","GOBP_NEGATIVE_REGULATION_OF_TRANSPORT","GOBP_NEGATIVE_REGULATION_OF_TRANSPORT","8/171","466/17872",0.079541116497068,0.340913114830273,0.289585230854935,"OAZ1/VAMP8/RACK1/APOE/APOC1/CD36/FABP5/OXSR1",8
"GOBP_HUMORAL_IMMUNE_RESPONSE","GOBP_HUMORAL_IMMUNE_RESPONSE","GOBP_HUMORAL_IMMUNE_RESPONSE","6/171","312/17872",0.0796949053414254,0.340913114830273,0.289585230854935,"S100A9/CFD/FCN1/C1QB/C1QC/RPS19",6
"GOBP_PEPTIDYL_CYSTEINE_MODIFICATION","GOBP_PEPTIDYL_CYSTEINE_MODIFICATION","GOBP_PEPTIDYL_CYSTEINE_MODIFICATION","2/171","49/17872",0.0799316060195273,0.340913114830273,0.289585230854935,"S100A9/S100A8",2
"GOBP_PROTEIN_LIPID_COMPLEX_SUBUNIT_ORGANIZATION","GOBP_PROTEIN_LIPID_COMPLEX_SUBUNIT_ORGANIZATION","GOBP_PROTEIN_LIPID_COMPLEX_SUBUNIT_ORGANIZATION","2/171","49/17872",0.0799316060195273,0.340913114830273,0.289585230854935,"APOE/APOC1",2
"GOBP_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS","GOBP_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS","GOBP_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS","2/171","49/17872",0.0799316060195273,0.340913114830273,0.289585230854935,"APOC1/FABP5",2
"GOBP_SPERM_EGG_RECOGNITION","GOBP_SPERM_EGG_RECOGNITION","GOBP_SPERM_EGG_RECOGNITION","2/171","49/17872",0.0799316060195273,0.340913114830273,0.289585230854935,"ALDOA/CD9",2
"GOBP_NEGATIVE_REGULATION_OF_HEMOPOIESIS","GOBP_NEGATIVE_REGULATION_OF_HEMOPOIESIS","GOBP_NEGATIVE_REGULATION_OF_HEMOPOIESIS","3/171","106/17872",0.0814954687780843,0.34533281257741,0.293339498839172,"TMEM176B/C1QC/TMEM176A",3
"GOBP_PYRUVATE_METABOLIC_PROCESS","GOBP_PYRUVATE_METABOLIC_PROCESS","GOBP_PYRUVATE_METABOLIC_PROCESS","3/171","106/17872",0.0814954687780843,0.34533281257741,0.293339498839172,"HIF1A/ALDOA/TPI1",3
"GOBP_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR","GOBP_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR","GOBP_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR","4/171","171/17872",0.0820016677770919,0.34533281257741,0.293339498839172,"RPS15/PYCARD/RPS20/RPL11",4
"GOBP_RESPONSE_TO_VIRUS","GOBP_RESPONSE_TO_VIRUS","GOBP_RESPONSE_TO_VIRUS","7/171","391/17872",0.0822355593005703,0.34533281257741,0.293339498839172,"NPC2/VAMP8/HIF1A/EEF1G/PYCARD/HSP90AA1/CFL1",7
"GOBP_ACTIVATED_T_CELL_PROLIFERATION","GOBP_ACTIVATED_T_CELL_PROLIFERATION","GOBP_ACTIVATED_T_CELL_PROLIFERATION","2/171","50/17872",0.0827563096054152,0.34533281257741,0.293339498839172,"RPS3/PYCARD",2
"GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_VACUOLE","GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_VACUOLE","GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_VACUOLE","2/171","50/17872",0.0827563096054152,0.34533281257741,0.293339498839172,"HSPA8/ZFYVE16",2
"GOBP_MATURATION_OF_SSU_RRNA","GOBP_MATURATION_OF_SSU_RRNA","GOBP_MATURATION_OF_SSU_RRNA","2/171","50/17872",0.0827563096054152,0.34533281257741,0.293339498839172,"RPS14/RPS19",2
"GOBP_NEGATIVE_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE","GOBP_NEGATIVE_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE","GOBP_NEGATIVE_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE","2/171","50/17872",0.0827563096054152,0.34533281257741,0.293339498839172,"EZR/GSTP1",2
"GOBP_POSITIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY","GOBP_POSITIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY","GOBP_POSITIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY","2/171","50/17872",0.0827563096054152,0.34533281257741,0.293339498839172,"VAMP8/ITGB2",2
"GOBP_PROSTANOID_METABOLIC_PROCESS","GOBP_PROSTANOID_METABOLIC_PROCESS","GOBP_PROSTANOID_METABOLIC_PROCESS","2/171","50/17872",0.0827563096054152,0.34533281257741,0.293339498839172,"FABP5/GSTP1",2
"GOBP_T_CELL_APOPTOTIC_PROCESS","GOBP_T_CELL_APOPTOTIC_PROCESS","GOBP_T_CELL_APOPTOTIC_PROCESS","2/171","50/17872",0.0827563096054152,0.34533281257741,0.293339498839172,"HIF1A/RPS6",2
"GOBP_CELLULAR_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS","GOBP_CELLULAR_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS","GOBP_CELLULAR_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS","3/171","107/17872",0.0832838313998338,0.346852662535778,0.294630520163705,"GRN/ATP6V0E1/PPT1",3
"GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","3/171","108/17872",0.085089023752307,0.350453969658905,0.297689614429261,"GMFG/ARHGDIB/EZR",3
"GOBP_VIRAL_LIFE_CYCLE","GOBP_VIRAL_LIFE_CYCLE","GOBP_VIRAL_LIFE_CYCLE","6/171","318/17872",0.0854745378608637,0.350453969658905,0.297689614429261,"VAMP8/APOE/ANPEP/HSPA8/LGALS1/FCN1",6
"GOBP_GLIAL_CELL_MIGRATION","GOBP_GLIAL_CELL_MIGRATION","GOBP_GLIAL_CELL_MIGRATION","2/171","51/17872",0.085611327847125,0.350453969658905,0.297689614429261,"TSPO/CD9",2
"GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE","GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE","GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE","2/171","51/17872",0.085611327847125,0.350453969658905,0.297689614429261,"NDUFB10/NDUFA4",2
"GOBP_NEGATIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING","GOBP_NEGATIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING","GOBP_NEGATIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING","2/171","51/17872",0.085611327847125,0.350453969658905,0.297689614429261,"PYCARD/GSTP1",2
"GOBP_FATTY_ACID_METABOLIC_PROCESS","GOBP_FATTY_ACID_METABOLIC_PROCESS","GOBP_FATTY_ACID_METABOLIC_PROCESS","7/171","395/17872",0.0856893320818312,0.350453969658905,0.297689614429261,"GPX1/APOC1/DBI/CD36/SLC27A4/FABP5/GSTP1",7
"GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS","GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS","GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS","7/171","395/17872",0.0856893320818312,0.350453969658905,0.297689614429261,"TMSB4X/HIF1A/ATP5MG/TKT/ALDOA/PPT1/TPI1",7
"GOBP_GLYCEROLIPID_METABOLIC_PROCESS","GOBP_GLYCEROLIPID_METABOLIC_PROCESS","GOBP_GLYCEROLIPID_METABOLIC_PROCESS","7/171","396/17872",0.0865656257652621,0.350453969658905,0.297689614429261,"GPX1/APOE/APOC1/DBI/GPAT3/FABP5/INPP5A",7
"GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY","GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY","GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY","5/171","245/17872",0.0866511109946707,0.350453969658905,0.297689614429261,"VAMP8/HSPA8/CFL1/MAP1LC3B/CAPG",5
"GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION","GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION","GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION","4/171","175/17872",0.087499982163619,0.350453969658905,0.297689614429261,"TMSB4X/HIF1A/PFN1/GRN",4
"GOBP_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS","GOBP_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS","GOBP_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS","4/171","175/17872",0.087499982163619,0.350453969658905,0.297689614429261,"TSPO/APOE/APOC1/FABP5",4
"GOBP_ACTIN_NUCLEATION","GOBP_ACTIN_NUCLEATION","GOBP_ACTIN_NUCLEATION","2/171","52/17872",0.088495830268017,0.350453969658905,0.297689614429261,"GMFG/ARPC2",2
"GOBP_NEGATIVE_REGULATION_OF_COAGULATION","GOBP_NEGATIVE_REGULATION_OF_COAGULATION","GOBP_NEGATIVE_REGULATION_OF_COAGULATION","2/171","52/17872",0.088495830268017,0.350453969658905,0.297689614429261,"APOE/CD9",2
"GOBP_POSITIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS","2/171","52/17872",0.088495830268017,0.350453969658905,0.297689614429261,"TYROBP/GRN",2
"GOBP_REGULATION_OF_CHOLESTEROL_EFFLUX","GOBP_REGULATION_OF_CHOLESTEROL_EFFLUX","GOBP_REGULATION_OF_CHOLESTEROL_EFFLUX","2/171","52/17872",0.088495830268017,0.350453969658905,0.297689614429261,"APOE/EEPD1",2
"GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS","3/171","110/17872",0.0887492405564348,0.350453969658905,0.297689614429261,"RACK1/GABARAP/ELOB",3
"GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION","GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION","GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION","4/171","176/17872",0.0889019623555516,0.350453969658905,0.297689614429261,"TMSB4X/GPX1/HIF1A/APOE",4
"GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS","GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS","GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS","3/171","111/17872",0.0906039329516523,0.350453969658905,0.297689614429261,"GPX1/SLC27A4/GSTP1",3
"GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS","GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS","GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS","3/171","111/17872",0.0906039329516523,0.350453969658905,0.297689614429261,"TMSB4X/ATP5MG/ALDOA",3
"GOBP_DEFENSE_RESPONSE_TO_FUNGUS","GOBP_DEFENSE_RESPONSE_TO_FUNGUS","GOBP_DEFENSE_RESPONSE_TO_FUNGUS","2/171","53/17872",0.091408999340023,0.350453969658905,0.297689614429261,"S100A9/S100A8",2
"GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION","2/171","53/17872",0.091408999340023,0.350453969658905,0.297689614429261,"CARD16/GSTP1",2
"GOBP_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS","GOBP_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS","GOBP_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS","2/171","53/17872",0.091408999340023,0.350453969658905,0.297689614429261,"TSPO/BLVRB",2
"GOBP_ASTRAL_MICROTUBULE_ORGANIZATION","GOBP_ASTRAL_MICROTUBULE_ORGANIZATION","GOBP_ASTRAL_MICROTUBULE_ORGANIZATION","1/171","10/17872",0.0916862355345888,0.350453969658905,0.297689614429261,"EZR",1
"GOBP_DETECTION_OF_CELL_DENSITY","GOBP_DETECTION_OF_CELL_DENSITY","GOBP_DETECTION_OF_CELL_DENSITY","1/171","10/17872",0.0916862355345888,0.350453969658905,0.297689614429261,"TSPO",1
